customer_id,first_name,last_name,city,gender,age,age_group,signup_date
100085,Avery,Mehta,Pune,M,60,51-70,2022-02-04
100086,Peyton,Gupta,Chennai,F,44,36-50,2021-03-08
100087,Jordan,Gupta,Hyderabad,M,58,51-70,2022-03-03
100088,Drew,Bhat,Ahmedabad,F,33,26-35,2019-01-27
100089,Quinn,Malhotra,Delhi,F,51,51-70,2022-08-26
100090,Jordan,Bose,Delhi,M,49,36-50,2019-02-23
100091,Avery,Das,Bengaluru,M,43,36-50,2024-05-25
100092,Taylor,Verma,Bengaluru,M,42,36-50,2019-01-14
100093,Rowan,Bose,Bengaluru,F,19,18-25,2022-12-02
100094,Sam,Sharma,Kolkata,F,29,26-35,2024-03-28
100095,Peyton,Iyer,Bengaluru,F,57,51-70,2023-09-20
100096,Riley,Gupta,Delhi,M,26,26-35,2023-12-23
100097,Jamie,Singh,Jaipur,M,29,26-35,2018-07-20
100098,Taylor,Chopra,Hyderabad,M,43,36-50,2023-02-07
100099,Kendall,Malhotra,Bengaluru,M,26,26-35,2020-02-19
100100,Alex,Sharma,Jaipur,F,27,26-35,2019-05-18
100101,Skyler,Nair,Kolkata,M,49,36-50,2024-09-20
100102,Morgan,Iyer,Kolkata,F,51,51-70,2022-10-18
100103,Taylor,Ahuja,Ahmedabad,F,65,51-70,2020-03-15
100104,Jordan,Malhotra,Pune,F,37,36-50,2023-11-17
100105,Robin,Ahuja,Pune,M,56,51-70,2023-03-11
100106,Casey,Joshi,Lucknow,F,19,18-25,2022-04-20
100107,Reese,Saxena,Pune,O,18,18-25,2020-08-18
100108,Rowan,Iyer,Lucknow,F,68,51-70,2022-01-25
100109,Jamie,Singh,Chennai,F,53,51-70,2020-10-25
100110,Riley,Ahuja,Pune,F,41,36-50,2019-05-18
100111,Kendall,Kohli,Kolkata,F,44,36-50,2019-02-02
100112,Reese,Iyer,Ahmedabad,M,19,18-25,2020-05-20
100113,Rowan,Chopra,Jaipur,F,48,36-50,2019-01-28
100114,Morgan,Bose,Bengaluru,F,31,26-35,2018-07-26
100115,Avery,Verma,Pune,O,19,18-25,2020-11-04
100116,Riley,Joshi,Lucknow,F,46,36-50,2023-02-25
100117,Harper,Ahuja,Jaipur,M,32,26-35,2022-01-24
100118,Peyton,Patel,Mumbai,F,29,26-35,2020-05-13
100119,Robin,Saxena,Delhi,O,54,51-70,2019-07-18
100120,Reese,Chatterjee,Pune,M,45,36-50,2020-10-17
100121,Casey,Chatterjee,Delhi,M,37,36-50,2018-04-06
100122,Morgan,Bose,Pune,F,56,51-70,2023-04-08
100123,Reese,Ahuja,Mumbai,M,41,36-50,2022-10-24
100124,Blake,Gupta,Bengaluru,M,38,36-50,2024-12-07
100125,Morgan,Kumar,Chennai,M,27,26-35,2024-03-28
100126,Sam,Chatterjee,Hyderabad,F,63,51-70,2022-08-06
100127,Skyler,Ahuja,Jaipur,M,31,26-35,2019-06-25
100128,Quinn,Chopra,Jaipur,M,54,51-70,2020-11-25
100129,Jamie,Gupta,Bengaluru,F,35,26-35,2021-03-29
100130,Riley,Saxena,Ahmedabad,F,41,36-50,2022-09-19
100131,Riley,Gupta,Kolkata,O,31,26-35,2022-12-25
100132,Robin,Bhat,Pune,M,51,51-70,2022-05-17
100133,Jordan,Chopra,Hyderabad,F,29,26-35,2020-03-06
100134,Cameron,Malhotra,Ahmedabad,M,39,36-50,2020-11-17
100135,Casey,Rao,Hyderabad,F,23,18-25,2022-07-02
100136,Peyton,Chatterjee,Kolkata,F,53,51-70,2021-09-25
100137,Blake,Singh,Delhi,M,62,51-70,2023-06-05
100138,Morgan,Mehta,Pune,F,53,51-70,2021-09-16
100139,Rowan,Saxena,Kolkata,M,39,36-50,2022-07-22
100140,Rowan,Kumar,Jaipur,F,31,26-35,2022-03-10
100141,Harper,Bhat,Jaipur,M,33,26-35,2023-08-01
100142,Quinn,Malhotra,Pune,F,53,51-70,2022-02-05
100143,Cameron,Iyer,Chennai,M,42,36-50,2024-02-16
100144,Quinn,Nair,Bengaluru,M,49,36-50,2021-11-09
100145,Robin,Ahuja,Bengaluru,O,50,36-50,2021-11-01
100146,Avery,Kumar,Jaipur,F,62,51-70,2021-07-30
100147,Jordan,Chopra,Jaipur,O,53,51-70,2020-08-30
100148,Peyton,Kumar,Kolkata,M,37,36-50,2022-11-04
100149,Harper,Iyer,Mumbai,M,35,26-35,2021-07-06
100150,Kendall,Das,Lucknow,F,55,51-70,2019-12-11
100151,Cameron,Bhat,Chennai,F,20,18-25,2022-01-19
100152,Skyler,Saxena,Ahmedabad,M,40,36-50,2021-12-05
100153,Alex,Chopra,Lucknow,F,49,36-50,2019-10-11
100154,Morgan,Nair,Kolkata,M,62,51-70,2018-11-14
100155,Avery,Kohli,Lucknow,M,33,26-35,2021-06-11
100156,Robin,Chopra,Lucknow,M,22,18-25,2019-11-15
100157,Taylor,Chopra,Kolkata,F,21,18-25,2019-10-26
100158,Harper,Chatterjee,Jaipur,F,38,36-50,2023-06-22
100159,Rowan,Nair,Jaipur,F,57,51-70,2022-06-20
100160,Sam,Malhotra,Pune,F,68,51-70,2022-02-04
100161,Harper,Das,Lucknow,M,31,26-35,2021-02-10
100162,Skyler,Chatterjee,Ahmedabad,F,56,51-70,2023-01-28
100163,Morgan,Mehta,Kolkata,F,48,36-50,2022-03-01
100164,Jordan,Mehta,Ahmedabad,F,31,26-35,2024-10-25
100165,Kendall,Singh,Hyderabad,M,23,18-25,2019-07-18
100166,Casey_dup,Gupta,Bengaluru,F,29,26-35,2021-07-15
100167,Riley,Iyer,Pune,F,33,26-35,2022-06-25
100168,Morgan,Bhat,Bengaluru,O,34,26-35,2019-11-30
100169,Rowan,Gupta,Pune,O,62,51-70,2023-12-01
100170,Alex,Chatterjee,Chennai,F,40,36-50,2018-01-02
100171,Jordan,Bhat,Kolkata,M,31,26-35,2019-10-04
100172,Alex,Verma,Bengaluru,F,24,18-25,2024-03-17
100173,Cameron,Malhotra,Ahmedabad,F,63,51-70,2022-05-09
100174,Kendall,Sharma,Kolkata,F,49,36-50,2020-05-04
100175,Harper,Verma,Ahmedabad,M,32,26-35,2022-10-26
100176,Cameron,Saxena,Lucknow,M,61,51-70,2024-08-29
100177,Avery,Kohli,Bengaluru,M,34,26-35,2022-07-20
100178,Peyton,Iyer,Lucknow,M,58,51-70,2021-02-27
100179,Jordan,Bose,Jaipur,M,64,51-70,2020-12-12
100180,Rowan,Mehta,Hyderabad,F,61,51-70,2022-09-04
100181,Skyler,Malhotra,Chennai,M,51,51-70,2022-08-23
100182,Quinn,Saxena,Chennai,M,22,18-25,2022-09-30
100183,Robin,Bose,Bengaluru,M,62,51-70,2021-12-10
100184,Cameron,Verma,Delhi,M,44,36-50,2024-04-13
100185,Cameron,Mehta,Hyderabad,O,69,51-70,2020-04-15
100186,Riley,Bose,Mumbai,M,40,36-50,2018-07-22
100187,Alex,Saxena,Pune,M,57,51-70,2018-05-03
100188,Riley,Kumar,Chennai,F,31,26-35,2019-02-05
100189,Quinn,Malhotra,Kolkata,F,32,26-35,2020-02-06
100190,Casey,Kumar,Jaipur,M,60,51-70,2018-10-21
100191,Rowan,Mehta,Lucknow,F,50,36-50,2024-05-16
100192,Kendall,Ahuja,Mumbai,F,48,36-50,2018-07-17
100193,Blake,Kohli,Kolkata,F,52,51-70,2023-04-15
100194,Harper,Ahuja,Bengaluru,F,34,26-35,2024-01-01
100195,Rowan,Bhat,Hyderabad,O,45,36-50,2019-09-01
100196,Casey,Kohli,Chennai,M,36,36-50,2021-02-21
100197,Jordan,Joshi,Pune,M,63,51-70,2018-07-06
100198,Sam,Chopra,Mumbai,M,40,36-50,2024-11-16
100199,Morgan,Gupta,Chennai,M,49,36-50,2022-11-30
100200,Avery,Mehta,Delhi,F,57,51-70,2019-10-22
100201,Skyler,Joshi,Delhi,F,30,26-35,2023-05-10
100202,Avery,Ahuja,Delhi,M,37,36-50,2024-09-16
100203,Kendall,Ahuja,Jaipur,M,52,51-70,2021-10-01
100204,Peyton,Malhotra,Lucknow,M,22,18-25,2023-06-10
100205,Quinn,Joshi,Bengaluru,O,26,26-35,2022-03-15
100206,Alex,Bhat,Kolkata,F,46,36-50,2018-05-27
100207,Alex,Patel,Chennai,F,23,18-25,2022-10-01
100208,Rowan,Gupta,Kolkata,F,42,36-50,2023-01-18
100209,Alex,Nair,Kolkata,F,48,36-50,2019-05-04
100210,Riley,Ahuja,Chennai,F,39,36-50,2023-05-14
100211,Quinn,Saxena,Lucknow,M,19,18-25,2022-07-22
100212,Alex,Das,Jaipur,F,62,51-70,2024-07-13
100213,Casey,Das,Jaipur,F,22,18-25,2019-10-03
100214,Robin,Chatterjee,Hyderabad,F,44,36-50,2022-12-08
100215,Peyton,Mehta,Bengaluru,O,42,36-50,2024-11-25
100216,Skyler,Das,Hyderabad,F,25,18-25,2023-05-24
100217,Jamie,Singh,Lucknow,F,18,18-25,2024-01-08
100218,Peyton,Patel,Kolkata,F,37,36-50,2021-12-09
100219,Rowan,Sharma,Bengaluru,M,61,51-70,2022-06-23
100220,Alex,Kohli,Hyderabad,F,40,36-50,2018-09-20
100221,Drew,Sharma,Hyderabad,F,49,36-50,2022-11-23
100222,Casey,Patel,Delhi,M,28,26-35,2024-01-01
100223,Riley,Gupta,Jaipur,F,56,51-70,2024-07-21
100224,Alex,Ahuja,Ahmedabad,F,64,51-70,2019-09-16
100225,Alex,Bhat,Hyderabad,F,41,36-50,2020-10-13
100226,Avery,Kohli,Mumbai,O,28,26-35,2020-05-30
100227,Avery,Joshi,Delhi,M,46,36-50,2023-08-12
100228,Taylor_dup,Rao,Kolkata,F,43,36-50,2021-08-20
100229,Peyton,Chatterjee,Pune,F,33,26-35,2024-04-20
100230,Reese,Gupta,Jaipur,M,52,51-70,2019-03-29
100231,Cameron,Kohli,Lucknow,M,37,36-50,2021-03-29
100232,Kendall,Gupta,Chennai,F,63,51-70,2023-08-19
100233,Sam,Iyer,Lucknow,F,20,18-25,2022-08-10
100234,Robin,Bose,Delhi,F,18,18-25,2024-03-05
100235,Peyton,Gupta,Mumbai,F,64,51-70,2021-02-28
100236,Harper,Rao,Lucknow,M,18,18-25,2019-02-08
100237,Jordan,Gupta,Mumbai,M,34,26-35,2024-01-09
100238,Peyton,Das,Chennai,M,19,18-25,2023-10-03
100239,Peyton,Ahuja,Pune,O,46,36-50,2022-08-24
100240,Drew,Kumar,Jaipur,M,37,36-50,2019-09-20
100241,Blake,Chatterjee,Jaipur,O,23,18-25,2019-08-10
100242,Kendall,Joshi,Ahmedabad,O,25,18-25,2022-07-07
100243,Taylor,Malhotra,Mumbai,O,46,36-50,2021-12-14
100244,Cameron,Chatterjee,Chennai,M,65,51-70,2021-12-16
100245,Kendall,Gupta,Hyderabad,O,68,51-70,2018-04-14
100246,Jordan,Patel,Hyderabad,M,50,36-50,2018-09-11
100247,Peyton,Chatterjee,Kolkata,M,20,18-25,2022-02-05
100248,Kendall,Ahuja,Mumbai,M,52,51-70,2018-04-09
100249,Casey,Iyer,Bengaluru,F,22,18-25,2024-01-10
100250,Harper,Das,Lucknow,M,44,36-50,2023-02-28
100251,Avery,Das,Kolkata,F,61,51-70,2023-04-04
100252,Rowan,Patel,Kolkata,M,29,26-35,2020-05-27
100253,Alex,Patel,Kolkata,M,37,36-50,2018-12-04
100254,Skyler,Bhat,Chennai,M,62,51-70,2020-08-14
100255,Cameron,Kumar,Jaipur,F,37,36-50,2022-09-01
100256,Blake,Chatterjee,Kolkata,F,26,26-35,2018-06-10
100257,Riley,Kohli,Jaipur,F,56,51-70,2022-05-23
100258,Skyler,Kohli,Jaipur,F,21,18-25,2019-02-02
100259,Sam,Kohli,Mumbai,O,68,51-70,2021-07-24
100260,Alex,Chopra,Chennai,F,36,36-50,2020-03-26
100261,Robin,Kumar,Jaipur,F,55,51-70,2022-03-08
100262,Drew,Singh,Kolkata,F,44,36-50,2023-04-04
100263,Peyton,Bose,Chennai,F,62,51-70,2021-11-16
100264,Rowan,Sharma,Kolkata,F,60,51-70,2021-03-04
100265,Reese,Singh,Delhi,F,30,26-35,2021-05-03
100266,Avery,Chatterjee,Lucknow,F,30,26-35,2019-02-05
100267,Drew,Ahuja,Delhi,F,39,36-50,2019-10-02
100268,Harper,Gupta,Delhi,M,45,36-50,2019-04-05
100269,Robin,Patel,Mumbai,F,69,51-70,2020-08-12
100270,Quinn,Ahuja,Bengaluru,M,64,51-70,2019-04-15
100271,Taylor,Bose,Lucknow,F,62,51-70,2020-11-11
100272,Harper,Rao,Mumbai,F,39,36-50,2022-08-21
100273,Avery,Gupta,Kolkata,O,60,51-70,2023-09-17
100274,Skyler,Verma,Mumbai,M,36,36-50,2024-03-27
100275,Morgan,Bose,Kolkata,M,25,18-25,2019-07-17
100276,Jordan,Verma,Bengaluru,M,69,51-70,2024-10-21
100277,Blake,Nair,Jaipur,M,25,18-25,2022-12-05
100278,Cameron,Joshi,Mumbai,F,59,51-70,2023-09-06
100279,Skyler,Bhat,Ahmedabad,F,43,36-50,2018-08-14
100280,Blake,Singh,Jaipur,F,65,51-70,2020-03-08
100281,Jordan,Kumar,Pune,F,68,51-70,2024-05-20
100282,Peyton,Verma,Mumbai,M,43,36-50,2020-08-17
100283,Quinn,Das,Kolkata,M,40,36-50,2022-02-13
100284,Cameron,Iyer,Lucknow,M,60,51-70,2019-03-29
100285,Taylor,Singh,Mumbai,F,30,26-35,2020-03-26
100286,Robin,Rao,Kolkata,F,45,36-50,2019-10-21
100287,Riley,Chatterjee,Bengaluru,F,26,26-35,2019-07-01
100288,Cameron,Sharma,Delhi,M,37,36-50,2021-04-30
100289,Skyler,Malhotra,Mumbai,M,36,36-50,2018-01-17
100290,Reese,Bhat,Hyderabad,F,65,51-70,2021-05-28
100291,Casey,Gupta,Pune,M,56,51-70,2024-01-15
100292,Harper,Malhotra,Hyderabad,F,68,51-70,2024-11-29
100293,Peyton,Mehta,Jaipur,M,29,26-35,2020-12-05
100294,Taylor,Malhotra,Jaipur,M,32,26-35,2023-11-17
100295,Jordan,Gupta,Delhi,F,48,36-50,2022-11-04
100296,Skyler,Rao,Delhi,M,31,26-35,2020-11-26
100297,Skyler,Ahuja,Jaipur,F,28,26-35,2024-05-16
100298,Jordan,Sharma,Mumbai,F,43,36-50,2024-12-19
100299,Reese,Malhotra,Chennai,F,59,51-70,2018-10-29
100300,Peyton,Nair,Mumbai,F,44,36-50,2018-06-30
100301,Quinn,Kumar,Pune,F,28,26-35,2019-08-30
100302,Alex,Malhotra,Jaipur,M,55,51-70,2019-12-01
100303,Drew,Kumar,Hyderabad,F,51,51-70,2020-09-19
100304,Jordan,Malhotra,Delhi,F,60,51-70,2021-02-13
100305,Cameron,Chopra,Hyderabad,M,36,36-50,2018-07-10
100306,Casey,Singh,Jaipur,F,23,18-25,2024-04-19
100307,Sam,Kohli,Bengaluru,F,63,51-70,2020-09-07
100308,Peyton,Bose,Jaipur,F,69,51-70,2023-06-30
100309,Jamie,Singh,Ahmedabad,F,55,51-70,2021-03-30
100310,Riley,Chatterjee,Pune,M,66,51-70,2018-05-08
100311,Robin,Gupta,Ahmedabad,F,59,51-70,2023-08-28
100312,Quinn,Ahuja,Lucknow,M,45,36-50,2022-12-22
100313,Cameron,Bose,Hyderabad,M,18,18-25,2022-10-25
100314,Skyler,Chopra,Bengaluru,F,52,51-70,2019-07-24
100315,Skyler,Rao,Pune,F,57,51-70,2021-09-08
100316,Sam,Rao,Kolkata,M,25,18-25,2023-03-11
100317,Avery,Iyer,Lucknow,F,69,51-70,2019-09-18
100318,Drew,Verma,Chennai,O,64,51-70,2022-08-14
100319,Jamie,Joshi,Ahmedabad,F,24,18-25,2018-06-04
100320,Cameron,Chatterjee,Pune,F,28,26-35,2024-12-12
100321,Avery,Kohli,Pune,F,56,51-70,2021-11-10
100322,Quinn,Kohli,Ahmedabad,M,21,18-25,2020-02-24
100323,Peyton,Kumar,Lucknow,M,42,36-50,2018-09-03
100324,Morgan,Verma,Bengaluru,F,29,26-35,2022-02-09
100325,Taylor,Joshi,Bengaluru,F,43,36-50,2022-09-02
100326,Blake,Ahuja,Delhi,F,55,51-70,2019-06-22
100327,Quinn,Verma,Mumbai,F,63,51-70,2023-03-06
100328,Reese,Patel,Lucknow,F,29,26-35,2023-01-16
100329,Morgan,Patel,Hyderabad,M,60,51-70,2020-07-09
100330,Robin,Chatterjee,Hyderabad,M,68,51-70,2024-09-21
100331,Reese,Rao,Lucknow,M,54,51-70,2019-06-09
100332,Quinn,Ahuja,Ahmedabad,F,63,51-70,2022-03-10
100333,Jamie,Bhat,Hyderabad,M,41,36-50,2018-02-05
100334,Kendall,Singh,Hyderabad,F,33,26-35,2019-11-16
100335,Sam,Sharma,Mumbai,M,30,26-35,2018-01-20
100336,Kendall,Sharma,Pune,F,42,36-50,2024-06-26
100337,Kendall,Patel,Pune,M,69,51-70,2019-02-04
100338,Cameron,Bhat,Lucknow,F,21,18-25,2020-08-29
100339,Alex,Verma,Jaipur,M,28,26-35,2023-03-22
100340,Harper,Rao,Pune,M,49,36-50,2024-11-23
100341,Skyler,Saxena,Ahmedabad,F,66,51-70,2021-03-12
100342,Cameron,Joshi,Kolkata,M,24,18-25,2021-01-20
100343,Alex,Malhotra,Jaipur,F,63,51-70,2020-04-13
100344,Morgan,Kumar,Mumbai,F,28,26-35,2022-12-29
100345,Skyler,Joshi,Ahmedabad,F,45,36-50,2023-06-06
100346,Harper,Saxena,Bengaluru,F,58,51-70,2020-05-03
100347,Rowan,Gupta,Mumbai,M,40,36-50,2018-02-20
100348,Harper,Mehta,Delhi,F,62,51-70,2019-07-29
100349,Cameron,Gupta,Hyderabad,M,40,36-50,2021-02-22
100350,Skyler,Ahuja,Chennai,M,67,51-70,2024-01-07
100351,Reese,Das,Bengaluru,M,45,36-50,2024-06-19
100352,Peyton,Chopra,Jaipur,M,60,51-70,2024-06-10
100353,Riley,Sharma,Ahmedabad,F,64,51-70,2022-09-12
100354,Cameron,Malhotra,Bengaluru,F,43,36-50,2019-11-13
100355,Peyton,Iyer,Delhi,M,42,36-50,2020-04-17
100356,Robin,Iyer,Ahmedabad,M,46,36-50,2020-12-13
100357,Kendall,Mehta,Chennai,M,36,36-50,2024-10-27
100358,Peyton,Das,Jaipur,M,50,36-50,2024-04-30
100359,Drew,Mehta,Mumbai,F,53,51-70,2022-05-15
100360,Casey,Das,Lucknow,M,31,26-35,2018-01-05
100361,Cameron,Joshi,Bengaluru,M,31,26-35,2021-01-31
100362,Jordan,Rao,Chennai,F,52,51-70,2021-05-04
100363,Jordan,Sharma,Delhi,F,47,36-50,2020-02-13
100364,Taylor,Chopra,Bengaluru,F,45,36-50,2020-05-26
100365,Peyton,Kohli,Kolkata,F,34,26-35,2020-09-18
100366,Morgan,Das,Kolkata,M,20,18-25,2018-02-16
100367,Jordan,Singh,Jaipur,M,33,26-35,2018-09-26
100368,Quinn,Chatterjee,Mumbai,M,63,51-70,2019-01-05
100369,Drew,Saxena,Jaipur,M,47,36-50,2019-09-28
100370,Alex,Mehta,Jaipur,F,69,51-70,2021-02-03
100371,Reese,Das,Hyderabad,F,46,36-50,2022-08-21
100372,Blake,Nair,Mumbai,M,62,51-70,2022-08-10
100373,Kendall,Kumar,Hyderabad,M,32,26-35,2019-10-19
100374,Cameron,Verma,Ahmedabad,M,63,51-70,2018-04-30
100375,Blake,Kumar,Chennai,F,42,36-50,2020-04-10
100376,Taylor,Malhotra,Chennai,M,68,51-70,2022-12-16
100377,Peyton,Rao,Mumbai,M,55,51-70,2020-12-17
100378,Drew,Singh,Mumbai,F,59,51-70,2023-05-29
100379,Avery,Kohli,Ahmedabad,M,64,51-70,2021-10-01
100380,Jamie,Joshi,Chennai,M,69,51-70,2020-01-11
100381,Rowan,Chopra,Ahmedabad,M,55,51-70,2018-04-27
100382,Casey,Patel,Lucknow,M,40,36-50,2023-01-28
100383,Jordan,Gupta,Delhi,M,42,36-50,2021-02-24
100384,Blake,Singh,Kolkata,M,59,51-70,2023-04-16
100385,Reese,Sharma,Lucknow,F,24,18-25,2020-10-09
100386,Jordan,Sharma,Jaipur,F,39,36-50,2022-07-23
100387,Rowan,Iyer,Bengaluru,F,34,26-35,2020-12-17
100388,Peyton,Joshi,Hyderabad,F,35,26-35,2019-09-26
100389,Drew,Das,Pune,M,66,51-70,2019-05-28
100390,Taylor,Saxena,Bengaluru,F,58,51-70,2021-01-24
100391,Avery,Ahuja,Mumbai,M,27,26-35,2021-02-15
100392,Rowan,Chatterjee,Delhi,M,27,26-35,2019-07-14
100393,Avery,Singh,Lucknow,M,24,18-25,2019-05-03
100394,Kendall,Malhotra,Pune,M,65,51-70,2020-06-15
100395,Alex,Patel,Pune,O,67,51-70,2021-04-27
100396,Taylor,Bose,Mumbai,M,55,51-70,2019-12-05
100397,Drew,Joshi,Lucknow,M,44,36-50,2022-01-10
100398,Alex,Iyer,Pune,M,69,51-70,2019-08-04
100399,Taylor,Bhat,Lucknow,M,50,36-50,2024-04-13
100400,Taylor,Iyer,Hyderabad,M,18,18-25,2018-06-03
100401,Casey,Patel,Hyderabad,M,61,51-70,2022-08-07
100402,Reese,Mehta,Pune,M,51,51-70,2020-09-23
100403,Alex,Kumar,Pune,F,21,18-25,2021-05-28
100404,Jordan_dup,Chatterjee,Mumbai,M,34,26-35,2020-12-28
100405,Jordan,Kumar,Lucknow,M,21,18-25,2020-10-05
100406,Peyton,Saxena,Chennai,F,60,51-70,2023-11-12
100407,Harper,Mehta,Ahmedabad,O,43,36-50,2022-11-09
100408,Kendall,Kumar,Ahmedabad,M,21,18-25,2020-08-15
100409,Alex,Malhotra,Bengaluru,M,18,18-25,2019-03-29
100410,Skyler,Ahuja,Bengaluru,O,24,18-25,2021-05-12
100411,Taylor,Rao,Pune,M,47,36-50,2024-03-15
100412,Robin,Mehta,Kolkata,F,67,51-70,2024-11-26
100413,Jordan,Das,Hyderabad,M,26,26-35,2024-10-15
100414,Casey,Iyer,Jaipur,F,52,51-70,2024-07-16
100415,Cameron,Joshi,Lucknow,O,25,18-25,2019-07-05
